file,ok,pass,blur,white,black,reason
06a0686f91bed47d1f4873e4d104442c_jpg.rf.4de248f1b4d17d260413ea9bdde71762.jpg,True,True,155.8162091798544,0.00150634765625,0.0322412109375,
06a0686f91bed47d1f4873e4d104442c_jpg.rf.ca85802ebdca5a2f1f293741021a6645.jpg,True,True,161.98522795677187,0.001669921875,0.02558837890625,
0d4c873ace54e82fb49c451a9bdc6d24_jpg.rf.bfdcbea6ad7d228da2021ff6325fd938.jpg,True,True,199.2016996438742,1.46484375e-05,0.05127685546875,
0e0a5204f238d9c743ae456a8dc6529a_jpg.rf.c3ca9420de53c5d7b5a7234f51f53644.jpg,True,True,199.15380435342198,0.0,0.0655908203125,
14171f7e3e906f9bb9cbee0e44b183ab_jpg.rf.0881693fc13cfdf4b1f250c7203c2f24.jpg,True,True,315.15469793412683,0.0,0.06672119140625,
19b620ad00aeb2885f0f0a1ccb337919_jpg.rf.874da0cffbd3af611f8e8dd7c47458f9.jpg,True,True,544.6616021823644,0.47298828125,0.07768798828125,
19b620ad00aeb2885f0f0a1ccb337919_jpg.rf.f8a122731eb7ac200524c5e88216ee68.jpg,True,True,528.4771452813089,0.4541748046875,0.08675048828125,
2017_7image_01_34_3344908890_jpg.rf.4a4041ede07dccc0e2065b0176c84fde.jpg,True,True,212.80496092790963,8.30078125e-05,0.056162109375,
2b923b9c9b526e45022e18d0493946ba-1-_jpg.rf.b5a3acaba2e9d128043db9f8e8a0753d.jpg,True,True,42.81925726460813,2.9296875e-05,0.070556640625,
2b923b9c9b526e45022e18d0493946ba_jpg.rf.c542258dac015b79f8f37e46eb7f37dd.jpg,True,True,55.18225266644953,3.41796875e-05,0.06623779296875,
3564191365d6dd7bff705c3252860029_jpg.rf.4da254870df54ce8a718330c511011c4.jpg,True,True,178.93837853918077,0.0,0.0571875,
3564191365d6dd7bff705c3252860029_jpg.rf.c2916c3602a6b5f5f29aa3523e4e2a74.jpg,True,True,163.5182001473844,0.0,0.05541015625,
3564191365d6dd7bff705c3252860029_jpg.rf.ecfc9fd2a0d76416f6a74b0d8cdf2d68.jpg,True,True,190.60256214722995,1.708984375e-05,0.06864013671875,
447675edf75967ed3047d0ff28f280ac-1-_jpg.rf.107cc237bfe7a182a4d0174efbf82f0a.jpg,True,True,119.06757736959456,0.0,0.0666748046875,
447675edf75967ed3047d0ff28f280ac_jpg.rf.563964b640acfc8db5469757f23dcbde.jpg,True,True,123.83596899261474,0.0,0.0596240234375,
60643f2e835245dfa9b0c9c988abb748_jpg.rf.9e9111e97d4168c55c7aeb87763ddd59.jpg,True,True,81.0166185256004,0.0,0.0562451171875,
60643f2e835245dfa9b0c9c988abb748_jpg.rf.ea9e2dd862ccbf64486e7102532ab507.jpg,True,True,71.36102182683945,0.0,0.1042578125,
6cc303eb6be78797fd871ec8cad3a65d_jpg.rf.d9226a1b739895bdcad78065fa27291f.jpg,True,True,127.90665899462103,0.0,0.045087890625,
6d8e67208737a556302565d3c61dc373_jpg.rf.20da8bf6be6638f72635d0deed85958c.jpg,True,True,64.94394619140624,0.0,0.06145751953125,
78ebbaace416b45c0b552a5a3de7b1a7_jpg.rf.d4af01944897e28033b40568ed83fe85.jpg,True,True,126.1365544707239,0.0,0.0771875,
80-Adding-Aadhar-Card-Template-Download-in-Photoshop-with-Aadhar-Card-Template-Download_jpg.rf.6da808a073d25bf42f7984f8383697d5.jpg,True,True,364.4276032130957,0.43106689453125,0.05471435546875,
80-Adding-Aadhar-Card-Template-Download-in-Photoshop-with-Aadhar-Card-Template-Download_jpg.rf.c6ae42e8f1221267e73a80b36398591d.jpg,True,True,402.73066103932865,0.4297216796875,0.0403466796875,
81eadb49cb7736c4e7460f318ebd5d29_jpg.rf.48eb7b67f93cd1046100ef7067e37448.jpg,True,True,206.17244544639578,0.00446533203125,0.0639501953125,
8455878ee3f6d5bf35580169888b3fb6_jpg.rf.386a15cfcec4f380e952e2c9185ff115.jpg,True,True,291.4277326497793,0.405380859375,0.108505859375,
